Name,Review,Rating,Sentiment Score
Toppling Goliath Kentucky Brunch,"You need personal informations from companies,family and friends that will better your life and you need easy access without them noticing just contact nick or you’re financially unstable or you have a bad credit score, he will solve that without stress,he and his team can clear criminal records without leaving a trace and can also anonymously credit your empty credit cards with funds you need,all these are not done free obviously but I like working with nick and his team cause they keep you updated on every step taken in order to achieve the goal and they also deliver on time,I tested and confirmed this I’m still happy on how my life is improving after my encounter with him ,you can send a mail to Premiumhackservices AT gmail DOT com, Whatsapp: +14106350697.",3.3,0.9442
Toppling Goliath Kentucky Brunch,"Bottle after MBCC 2024. Black colour, malty aroma with wood barrel. Clear coffee and wood in the taste as well, really nice!",4.5,0.7955
Toppling Goliath Kentucky Brunch,Thank you for sharing this Chris - Black with a brown head - Dark malt aroma with wood barrel aroma - Dark malt body with coffee flavours and good wood barrel flavours as well - Dark malt coffee and wood barrel flavours goes into the finish - This was real good,4.3,0.9042
Toppling Goliath Kentucky Brunch,"Boxed beer at home, proper glassware. Pitch black, oily thick pour with a brown head that quickly disappears. Maple upfront alongside roasted coffee, bourbon in the nose. Taste is beautifully layered coffee, chocolate brownie, lots of bourbon barrel character, lots of burnt caramel - with the most balanced balance there is. Big bodied, oily rich mouthfeel, medium carbonation.
Truly one of a kind beer, brewed to perfection.",4.7,0.9423
Toppling Goliath Kentucky Brunch,"From backlog. (As 2018 Vintage) 0,3 litre Bottle, from a trade, at a share in Brumunddal. Black with little head. Roasted malts, coffee, barrel, some bourbon, some sweetness, some dry bitterness, one of The best beers i’ve had.",4.9,0.7845
Toppling Goliath Kentucky Brunch,"Bottle, vintage 2022 2023-12-07 Göteborg
AR: chili, rich chocolate bomb, vanilla bourbon, warming feeling
AP: dark thick fluid brown, wee lid
F: chili, rich chocolate bomb, vanilla bourbon, warming feeling",4.6,0.6124
Toppling Goliath Kentucky Brunch,"There are not hundreds of beers on my bucketlist anymore, throughout the years I have had the pleasure of tasting many of the world's great beers and I am grateful for each and every one of them, but if there is one beer I have been eager to sip for nearly a decade now, it must be this one: Toppling Goliath's Kentucky Brunch Brand Stout, or KBBS as it is sometimes abbreviated.  A coffee stout aged for over a year in bourbon barrels, it was first released in 2012, but the story goes that at that time, only six people showed up - after which founder Carl Lewey stopped selling it and kept the rest of the batch for private consumption.  I guess he must have known already back then that he was onto something, as the buzz around this beer began to grow and it quickly became one of those modern whales every beer lover in the world wants to taste at least once.  In 2015, KBBS reached number one in the list of top beers on this very website, stoking the hype even further; nine years later, it still holds that same enviable position, as it does on BeerAdvocate (as well as second place - though only recently - on Untappd and Brewver).  It goes without saying that I am very happy to be able to finally taste it today on my birthday, from a 2022 vintage bottle (numbered 1679) just over a year old - and of course I know that a beer like this will probably only improve in coming years, but I just could not resist having it in my collection any longer...  Builds up a light brown, mocha ice-coloured, minute-bubbled and therefore densely creamy head of medium thickness, slowly receding and opening yet retaining well around the edge, with some dots of lacing here and there, over a pitch black beer.  The bouquet is intense - and indeed overwhelmingly beautiful, one sniff already managed to convince me instantly of the whole hype around it: top quality Swiss chocolate, chocolate ganache, top class real maple syrup, the finest Colombian coffee, warm bourbon of some high-end brand, vanillin-breathing oak wood and a lot of it (I love it), homemade coffee brownies, Alicante nougat, armagnac, fudge, expensive Belgian chocolates, crème au caramel, artisanal mocha ice cream, coffee liqueur, more dark bitter chocolate underneath and then all kinds of subtle hints ticking all the boxes of a high-level U.S. style 'impy' varying between almond, roasted pecan nuts, cinnamon, fresh bayleaf, pipe tobacco, fresh fig and even more fruitiness warming up (blackcurrant) but then making room again for wet leather, walnut oil, charcoal briefly showing up only to vanish again in seconds, haemoglobin, rum-soaked raisins, date jam, a very vague minerally touch (clay) - before all that dark chocolate, coffee, bourbon and oak return, all intertwined into one monolithic, perfectly aligned and beguiling 'block' of aroma.  In the mouth, the most noble and refined sweetness unfolds, date jam, candied cherries, golden raisins - in a very dense, concentrated manner, with very slight sourish and umami notes here and there, but too subtle to describe; mouthfeel and carbonation are absolutely perfect for this style of beer, rich, velvety, viscously thick yet still oily-smooth, heavily yet supply gliding down the tongue, leaving behind thick layers of fine dark chocolate, toffee, nougat, almond and hazelnut paste, with both the coffee and roasted malts providing bitterness balancing out the sweetness.  An overall bittersweetness fills the mouth in a most complex way, releasing accents of amaretto, bayleaf, cinnamon, light sweet pipe tobacco and, much lighter still, even 'blood' or the juice oozing out of a medium rare steak - all of which matches perfectly without even the slightest sign of a false note, and all of which is enveloped in a noble oaky woodiness (think vanilla and actual wood flavours) and, of course, a long, warming, soothing bourbon bittersweetness, bourbon of high quality in this case, with armagnac- and walnut liqueur-like features.  The finish goes on and on, warming on a cold January night, but more importantly, providing an extended enjoyment of this formidable brew which seems to last forever.  Hops are present 'behind the scenes', with spicy and even very faintly citrus peel-ish details that all contribute to the vast and massive landscape of flavours.  The coffee returns every now and then retronasally, in a most sophisticated way.  This is one to enjoy very slowly and over a very long period of time: as the temperatures shift, one shade of beauty is replaced by another.  This is the one beer I spent the most money on in my twenty-five years of tasting beer in a serious way, but I have no regrets - on the contrary, I am filled with joy and gratitude that after such a long time, this most coveted of the world's craft beers (or one of the most coveted at least) finally reached me.  The number of bottles released each year seems to have grown in past iterations, probably since Toppling Goliath extended their production capacity with a new brewing installment in 2018, so who knows, maybe one day this gem will become a bit more widely available, and when that happens, I will be happy to pay for a second one.  As for now, I suppose I could consider selling the empty bottle, as I noticed one being auctioned in the States for no less than a hundred dollars...  Anyway, to conclude this long journey through this awe-inspiring brew: I think scoring becomes a bit meaningless in the light of not only this beer's inherent perfection and majestic beauty, but also in its consistent high scores in the decade in which it has been in existence.  Additionally, I cannot find anything I do not like here, not even after examining it with a microscope, so to speak, so here you go: the perfect score, mostly symbolically because American style imperial stout really does not get much better than this, at least not in what I have tasted so far.",5.0,0.9993
Toppling Goliath Kentucky Brunch,"The perfect stout. Not overly sweet. Nice barrel notes. Maple,coffee, caramel goodness. Thick chewy mouthfeel. Wow!

---Rated via Beer Buddy for iPhone",5.0,0.8262
Toppling Goliath Kentucky Brunch,"Pours a thick, dark, almost-oily black, with very small tan head. Aroma is maple syrup, chocolate, coffee, bourbon. Flavors follow, with some vanilla in the mix, a touch of caramel. Very sweet and smooth. Amazing.",4.8,0.796
Toppling Goliath Kentucky Brunch,"Bottle #601 at El Catador Whale Killing - Grindsted. Black body with almost no head. Chocolate, coffee, bourbon, maple, oak, so very well balanced, round and smooth. Oily texture. The hype is real. Holy damn.",4.8,-0.7458
